parent_id,id,population_rel_to_parent,latitude,longitude,name
32003,3200315,0.09948611242472967,51.05,2.8833333333333333,BEERST
32003,320031,0.06666666666666665,51.03333333333333,2.8666666666666667,DIKSMUIDE
23016,230162,0.20615357332860434,50.833333333333336,4.183333333333334,SCHEPDAAL
23016,230163,0.2867677484187503,50.86666666666667,4.266666666666667,GROOT-BIJGAARDEN
23016,230164,0.17371578885145117,50.833333333333336,4.25,ITTERBEEK
23016,230165,0.0670922740438612,50.88333333333333,4.216666666666667,SINT-ULRIKS-KAPELLE
23016,230166,0.09960394869066617,50.86666666666667,4.216666666666667,SINT-MARTENS-BODEGEM
23016,230161,0.16666666666666685,50.85,4.266666666666667,DILBEEK
44019,440192,0.0672562553925798,51.15,3.7333333333333334,KLUIZEN
44019,440193,0.3154443485763589,51.13333333333333,3.6833333333333336,SLEIDINGE
44019,440194,0.36729939603106126,51.18333333333333,3.75,ERTVELDE
44019,440191,0.25,51.11666666666667,3.7,EVERGEM
23023,230232,0.3333333333333333,50.766666666666666,4.033333333333333,VOLLEZELE
23023,230233,0.3333333333333333,50.75,4.0,TOLLEMBEEK
23023,230231,0.33333333333333337,50.75,3.966666666666667,GALMAARDEN
72041,720412,0.1717588349119055,51.016666666666666,5.75,STOKKEM
72041,720413,0.18785008656686017,51.05,5.733333333333333,ROTEM
72041,720414,0.22344434260107957,51.016666666666666,5.716666666666667,LANKLAAR
72041,720415,0.11818922497199308,51.06666666666667,5.766666666666667,ELEN
72041,720416,0.2987575109481617,51.03333333333333,5.716666666666667,DILSEN
44020,440202,0.09419496166484119,50.95,3.6833333333333336,VURSTE
44020,440203,0.1297918948521358,50.95,3.6666666666666665,SEMMERZAKE
44020,440204,0.17132165023731288,50.916666666666664,3.6833333333333336,DIKKELVENNE
44020,440205,0.05156991602774735,50.93333333333333,3.716666666666667,BAAIGEM
44020,440206,0.38645491055129605,50.916666666666664,3.65,ASPER
44020,440201,0.16666666666666674,50.93333333333333,3.6666666666666665,GAVERE
24028,240282,0.3333333333333333,50.9,5.166666666666667,RUMMEN
24028,240283,0.3333333333333333,50.86666666666667,5.133333333333334,GRAZEN
24028,240281,0.33333333333333337,50.88333333333333,5.116666666666666,GEETBETS
44021,440212,0.16391205430450587,51.03333333333333,3.7666666666666666,GENTBRUGGE
44021,440213,0.04141972175022558,51.016666666666666,3.6666666666666665,SINT-DENIJS-WESTREM
44021,440214,0.011577191412460794,51.03333333333333,3.6666666666666665,AFSNEE
44021,440215,0.06820458271842755,51.03333333333333,3.75,LEDEBERG
44021,440216,0.06308964240100587,51.0,3.716666666666667,ZWIJNAARDE
44021,440217,0.00943117544332172,51.15,3.8333333333333335,SINT-KRUIS-WINKEL
44021,440218,0.0019604581973714096,51.15,3.8166666666666664,MENDONK
44021,440219,0.007236753098938907,51.11666666666667,3.783333333333333,DESTELDONK
44021,4402110,0.09586882617022413,51.06666666666667,3.6833333333333336,MARIAKERKE
44021,4402111,0.18671145704430672,51.05,3.75,SINT-AMANDSBERG
44021,4402112,0.1032104597488578,51.1,3.7666666666666666,OOSTAKKER
44021,4402113,0.10452549960964602,51.05,3.6666666666666665,DRONGEN
44021,4402114,0.07142360667213617,51.083333333333336,3.716666666666667,WONDELGEM
44021,440211,0.07142857142857151,51.05,3.7,GENT
41018,410182,0.060733924700971345,50.8,3.966666666666667,ZANDBERGEN
41018,410183,0.0088805490888657,50.78333333333333,3.966666666666667,WAARBEKE
41018,410184,0.02859837842177089,50.81666666666667,3.9333333333333336,SMEEREBBE-VLOERZEGEM
41018,410185,0.035145901902544754,50.8,3.95,GRIMMINGE
41018,410186,0.017572950951272377,50.78333333333333,3.9833333333333334,NIEUWENHOVE
41018,410187,0.061373625270932,50.8,3.9333333333333336,IDEGEM
41018,410188,0.03619952637071526,50.766666666666666,3.8333333333333335,ZARLARDINGE
41018,410189,0.06600204704182387,50.8,3.9,SCHENDELBEKE
41018,4101810,0.06547523480773862,50.75,3.9333333333333336,VIANE
41018,4101811,0.06254013807497792,50.81666666666667,3.9,OPHASSELT
41018,4101812,0.1473569077627037,50.766666666666666,3.8666666666666667,OVERBOELARE
41018,4101813,0.10302942120895882,50.78333333333333,3.9166666666666665,ONKERZELE
41018,4101814,0.03473197800433491,50.78333333333333,3.8666666666666667,NEDERBOELARE
41018,4101815,0.09817522276631613,50.766666666666666,3.8333333333333335,GOEFERDINGE
41018,4101816,0.11168419362607368,50.75,3.9166666666666665,MOERBEKE
41018,410181,0.06249999999999978,50.766666666666666,3.8833333333333333,GERAARDSBERGEN
41082,410822,0.11128056797265316,50.88333333333333,3.9333333333333336,AAIGEM
41082,410823,0.015356297659742309,50.93333333333333,3.9333333333333336,VLEKKEM
41082,410824,0.02629503023928478,50.93333333333333,3.95,OTTERGEM
41082,410825,0.26468577438864055,50.916666666666664,3.966666666666667,MERE
41082,410826,0.25784906652642653,50.93333333333333,3.9833333333333334,ERPE
41082,410827,0.08561661845911123,50.93333333333333,3.95,ERONDEGEM
41082,410828,0.15608729950039443,50.916666666666664,3.9166666666666665,BURST
41082,410829,0.08282934525374704,50.916666666666664,3.9333333333333336,BAMBRUGGE
71017,710172,0.015979546180888465,50.766666666666666,5.183333333333334,MUIZEN
71017,710173,0.048519712949243156,50.75,5.183333333333334,BUVINGEN
71017,710174,0.13132281588657427,50.75,5.216666666666667,MIELEN-BOVEN-AALST
71017,710175,0.03050640634533252,50.7,5.166666666666667,VORSEN
71017,710176,0.09558673988204192,50.75,5.183333333333334,BORLO
71017,710177,0.10720822801359715,50.733333333333334,5.133333333333334,NIEL-BIJ-SINT-TRUIDEN
71017,710178,0.029780063337110318,50.7,5.15,KORTIJS
71017,710179,0.04067520846044336,50.75,5.233333333333333,BOEKHOUT
71017,7101710,0.21005839797786108,50.71666666666667,5.133333333333334,MONTENAKEN
